 שם ישוב,סמל ישוב,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
אדירים, 0000113, 0000209, 0000163, 0000003, 0000160, 0000002, 0000004, 0000000, 0000000, 0000000, 0000000, 0000022, 0000000, 0000000, 0000000, 0000000, 0000007, 0000001, 0000056, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000001, 0000004, 0000000, 0000059
אדמית, 0001068, 0000292, 0000160, 0000000, 0000160, 0000042, 0000000, 0000012, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000013, 0000008, 0000011, 0000045, 0000000, 0000000, 0000000, 0000001, 0000010, 0000001, 0000000, 0000013, 0000000, 0000002, 0000000
אדרת, 0001123, 0000498, 0000383, 0000002, 0000381, 0000012, 0000001, 0000001, 0000000, 0000000, 0000000, 0000078, 0000000, 0000000, 0000000, 0000000, 0000021, 0000010, 0000193, 0000009, 0000003, 0000000, 0000000, 0000000, 0000015, 0000000, 0000000, 0000003, 0000009, 0000000, 0000026
אודים, 0000446, 0000714, 0000590, 0000002, 0000588, 0000284, 0000001, 0000000, 0000000, 0000000, 0000000, 0000018, 0000000, 0000000, 0000000, 0000000, 0000028, 0000006, 0000067, 0000064, 0000000, 0000000, 0000000, 0000000, 0000106, 0000000, 0000001, 0000008, 0000001, 0000000, 0000004
אודם, 0004010, 0000102, 0000080, 0000000, 0000080, 0000029, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000008, 0000001, 0000008, 0000005, 0000000, 0000000, 0000000, 0000000, 0000016, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000
אוהד, 0001046, 0000243, 0000187, 0000001, 0000186, 0000061, 0000000, 0000002, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000013, 0000003, 0000059, 0000006, 0000000, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000002, 0000004, 0000000, 0000005
אום אל-פחם, 0002710, 0030363, 0020471, 0000150, 0020321, 0000069, 0000011, 0019304, 0000408, 0000001, 0000003, 0000005, 0000002, 0000001, 0000000, 0000012, 0000012, 0000006, 0000021, 0000386, 0000002, 0000001, 0000005, 0000038, 0000017, 0000002, 0000003, 0000004, 0000002, 0000002, 0000004
אום אל-קוטוף, 0002024, 0000626, 0000520, 0000001, 0000519, 0000005, 0000000, 0000477, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000001, 0000027, 0000000, 0000000, 0000000, 0000001, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005
אום בטין, 0001358, 0001231, 0000595, 0000006, 0000589, 0000032, 0000000, 0000473, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000030, 0000001, 0000005, 0000004, 0000000, 0000000, 0000003, 0000023, 0000004, 0000000, 0000003, 0000000, 0000002, 0000004, 0000003
אומן, 0001108, 0000299, 0000177, 0000000, 0000177, 0000021, 0000001, 0000000, 0000000, 0000000, 0000000, 0000011, 0000000, 0000001, 0000000, 0000000, 0000014, 0000024, 0000085, 0000001, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000004, 0000000, 0000000, 0000008
אומץ, 0000680, 0000457, 0000351, 0000000, 0000351, 0000188, 0000001, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000000, 0000000, 0000000, 0000015, 0000002, 0000036, 0000021, 0000000, 0000000, 0000000, 0000000, 0000069, 0000000, 0000000, 0000004, 0000001, 0000000, 0000001
אופקים, 0000031, 0018915, 0012637, 0000184, 0012453, 0000650, 0001808, 0000009, 0000001, 0000003, 0000002, 0000730, 0000003, 0000000, 0000000, 0000000, 0000625, 0001258, 0003752, 0000066, 0000005, 0000000, 0000004, 0000007, 0000378, 0000008, 0000004, 0000116, 0000569, 0000005, 0002450
אור הגנוז, 0001294, 0000164, 0000125, 0000000, 0000125, 0000000, 0000073, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000001, 0000008, 0000000, 0000033
אור הנר, 0000067, 0000570, 0000444, 0000001, 0000443, 0000301, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000019, 0000001, 0000019, 0000046, 0000000, 0000000, 0000000, 0000000, 0000043, 0000000, 0000000, 0000005, 0000001, 0000000, 0000001
אור יהודה, 0002400, 0026366, 0018785, 0000265, 0018520, 0002250, 0000304, 0000010, 0000002, 0000002, 0000009, 0000841, 0000000, 0000002, 0000000, 0000004, 0002084, 0000622, 0007509, 0000255, 0000004, 0000004, 0000005, 0000001, 0001370, 0000003, 0000004, 0000144, 0000401, 0000008, 0002682
אור עקיבא, 0001020, 0014611, 0009361, 0000086, 0009275, 0000577, 0000122, 0000020, 0000001, 0000000, 0000000, 0000473, 0000001, 0000000, 0000000, 0000000, 0001209, 0001014, 0004218, 0000065, 0000002, 0000001, 0000001, 0000000, 0000426, 0000000, 0000005, 0000090, 0000130, 0000044, 0000876
אורה, 0000780, 0000799, 0000614, 0000008, 0000606, 0000131, 0000002, 0000000, 0000000, 0000000, 0000000, 0000042, 0000000, 0000000, 0000000, 0000000, 0000069, 0000008, 0000197, 0000023, 0000000, 0000000, 0000000, 0000000, 0000063, 0000000, 0000000, 0000015, 0000025, 0000000, 0000031
אורות, 0002012, 0000421, 0000321, 0000001, 0000320, 0000180, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000024, 0000003, 0000039, 0000029, 0000000, 0000000, 0000000, 0000000, 0000029, 0000000, 0000000, 0000007, 0000000, 0000001, 0000001
אורטל, 0004013, 0000224, 0000163, 0000001, 0000162, 0000056, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000013, 0000004, 0000017, 0000004, 0000000, 0000000, 0000000, 0000000, 0000045, 0000000, 0000000, 0000010, 0000000, 0000000, 0000003
אורים, 0000403, 0000424, 0000260, 0000004, 0000256, 0000156, 0000000, 0000001, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000019, 0000007, 0000009, 0000038, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000006, 0000002, 0000000, 0000000
אורנית, 0003760, 0005690, 0004660, 0000009, 0004651, 0001003, 0000035, 0000000, 0000000, 0000000, 0000000, 0000678, 0000000, 0000000, 0000000, 0000000, 0000338, 0000075, 0001214, 0000119, 0000001, 0000000, 0000001, 0000001, 0001004, 0000000, 0000004, 0000072, 0000057, 0000006, 0000043
אושה, 0000278, 0000343, 0000248, 0000000, 0000248, 0000171, 0000000, 0000001, 0000000, 0000000, 0000000, 0000005, 0000000, 0000000, 0000000, 0000000, 0000014, 0000003, 0000015, 0000017, 0000000, 0000000, 0000000, 0000000, 0000019, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000
אזור, 0000565, 0009238, 0006523, 0000057, 0006466, 0001407, 0000066, 0000002, 0000000, 0000000, 0000001, 0000364, 0000002, 0000000, 0000000, 0000000, 0000716, 0000254, 0001994, 0000140, 0000001, 0000000, 0000001, 0000000, 0000794, 0000001, 0000008, 0000079, 0000114, 0000005, 0000517
אחווה, 0001157, 0000179, 0000145, 0000000, 0000145, 0000062, 0000003, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000012, 0000003, 0000016, 0000006, 0000000, 0000000, 0000000, 0000000, 0000034, 0000000, 0000000, 0000000, 0000001, 0000000, 0000002
אחוזם, 0000821, 0000368, 0000270, 0000001, 0000269, 0000006, 0000000, 0000000, 0000000, 0000000, 0000000, 0000020, 0000000, 0000000, 0000000, 0000000, 0000024, 0000002, 0000153, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000002, 0000031, 0000000, 0000028
אחוזת ברק, 0001330, 0001482, 0001167, 0000003, 0001164, 0000324, 0000002, 0000001, 0000000, 0000001, 0000000, 0000072, 0000000, 0000000, 0000000, 0000000, 0000120, 0000041, 0000358, 0000036, 0000000, 0000000, 0000000, 0000000, 0000185, 0000000, 0000001, 0000008, 0000002, 0000002, 0000011
אחיהוד, 0000785, 0000553, 0000449, 0000003, 0000446, 0000007, 0000009, 0000000, 0000000, 0000000, 0000000, 0000066, 0000000, 0000000, 0000000, 0000000, 0000023, 0000003, 0000257, 0000002, 0000000, 0000000, 0000000, 0000000, 0000011, 0000000, 0000000, 0000003, 0000034, 0000000, 0000031
אחיטוב, 0000850, 0000674, 0000545, 0000000, 0000545, 0000147, 0000002, 0000000, 0000000, 0000000, 0000000, 0000035, 0000000, 0000000, 0000000, 0000000, 0000084, 0000004, 0000147, 0000012, 0000001, 0000000, 0000000, 0000000, 0000089, 0000000, 0000000, 0000008, 0000003, 0000001, 0000012
אחיסמך, 0000804, 0000843, 0000673, 0000005, 0000668, 0000026, 0000014, 0000000, 0000000, 0000000, 0000000, 0000016, 0000000, 0000000, 0000000, 0000000, 0000104, 0000001, 0000319, 0000001, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000002, 0000001, 0000014, 0000000, 0000157
אחיעזר, 0000797, 0001021, 0000857, 0000009, 0000848, 0000003, 0000025, 0000000, 0000000, 0000000, 0000000, 0000135, 0000000, 0000000, 0000000, 0000000, 0000045, 0000002, 0000259, 0000002, 0000000, 0000000, 0000000, 0000000, 0000005, 0000000, 0000001, 0000005, 0000052, 0000000, 0000314
אטרש (שבט), 0000965, 0001650, 0000457, 0000007, 0000450, 0000014, 0000001, 0000251, 0000001, 0000002, 0000001, 0000001, 0000000, 0000000, 0000000, 0000008, 0000060, 0000002, 0000002, 0000007, 0000000, 0000002, 0000001, 0000015, 0000001, 0000000, 0000001, 0000000, 0000003, 0000001, 0000076
איבים, 0000338, 0000196, 0000077, 0000002, 0000075, 0000004, 0000001, 0000001, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000, 0000000, 0000001, 0000003, 0000049, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000002, 0000004, 0000001, 0000003
אייל, 0000716, 0000364, 0000298, 0000002, 0000296, 0000205, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000007, 0000001, 0000014, 0000026, 0000000, 0000000, 0000000, 0000000, 0000027, 0000000, 0000000, 0000006, 0000001, 0000000, 0000001
איילת השחר, 0000077, 0000999, 0000728, 0000010, 0000718, 0000345, 0000004, 0000001, 0000000, 0000003, 0000000, 0000016, 0000001, 0000000, 0000000, 0000000, 0000044, 0000012, 0000157, 0000057, 0000002, 0000002, 0000000, 0000001, 0000052, 0000002, 0000000, 0000015, 0000000, 0000002, 0000002
אילון, 0000294, 0000755, 0000590, 0000001, 0000589, 0000216, 0000000, 0000003, 0000000, 0000000, 0000001, 0000019, 0000000, 0000000, 0000000, 0000000, 0000037, 0000008, 0000073, 0000168, 0000001, 0000000, 0000000, 0000000, 0000051, 0000000, 0000000, 0000008, 0000000, 0000000, 0000004
אילות, 0001126, 0000266, 0000166, 0000001, 0000165, 0000099, 0000000, 0000002, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000004, 0000003, 0000014, 0000011, 0000000, 0000000, 0000000, 0000000, 0000022, 0000000, 0000000, 0000003, 0000000, 0000000, 0000001
אילניה, 0000049, 0000425, 0000301, 0000003, 0000298, 0000089, 0000000, 0000000, 0000000, 0000000, 0000000, 0000024, 0000000, 0000000, 0000000, 0000000, 0000023, 0000004, 0000105, 0000010, 0000000, 0000000, 0000000, 0000000, 0000030, 0000000, 0000000, 0000010, 0000002, 0000000, 0000001
אילת, 0002600, 0047042, 0023064, 0000235, 0022829, 0003881, 0000055, 0000213, 0000003, 0000004, 0000010, 0001452, 0000007, 0000003, 0000000, 0000001, 0002572, 0001276, 0008039, 0000467, 0000002, 0000005, 0000004, 0000007, 0002471, 0000005, 0000017, 0000787, 0000498, 0000035, 0001015
איתמר, 0003762, 0000485, 0000398, 0000000, 0000398, 0000002, 0000013, 0000000, 0000000, 0000000, 0000000, 0000178, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000035, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000162, 0000000, 0000004
איתן, 0000037, 0000310, 0000255, 0000001, 0000254, 0000001, 0000005, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000021, 0000000, 0000094, 0000000, 0000000, 0000000, 0000000, 0000000, 0000003, 0000000, 0000000, 0000003, 0000101, 0000000, 0000016
אכסאל, 0000478, 0008279, 0005491, 0000038, 0005453, 0000034, 0000003, 0005184, 0000000, 0000001, 0000000, 0000003, 0000000, 0000002, 0000000, 0000001, 0000004, 0000001, 0000058, 0000060, 0000002, 0000001, 0000002, 0000028, 0000004, 0000000, 0000003, 0000001, 0000000, 0000001, 0000060
אל סייד, 0001359, 0000369, 0000167, 0000000, 0000167, 0000023, 0000000, 0000110, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000007, 0000010, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000002, 0000003, 0000000, 0000000, 0000000, 0000000, 0000000, 0000009
אל-עריאן, 0001316, 0000110, 0000077, 0000001, 0000076, 0000005, 0000000, 0000046, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000024, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000
אל-רום, 0004003, 0000296, 0000207, 0000002, 0000205, 0000103, 0000000, 0000000, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000012, 0000003, 0000014, 0000028, 0000000, 0000000, 0000000, 0000000, 0000024, 0000000, 0000000, 0000014, 0000001, 0000000, 0000000
אלומה, 0001145, 0000305, 0000270, 0000000, 0000270, 0000000, 0000080, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000008, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000000, 0000000, 0000000, 0000017, 0000000, 0000163
אלומות, 0000330, 0000258, 0000177, 0000000, 0000177, 0000105, 0000001, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000000, 0000011, 0000000, 0000009, 0000021, 0000000, 0000000, 0000000, 0000000, 0000026, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000
אלון הגליל, 0001182, 0000702, 0000553, 0000000, 0000553, 0000339, 0000000, 0000000, 0000000, 0000000, 0000000, 0000010, 0000000, 0000000, 0000000, 0000000, 0000017, 0000003, 0000025, 0000103, 0000000, 0000000, 0000000, 0000000, 0000053, 0000000, 0000000, 0000003, 0000000, 0000000, 0000000
אלון מורה, 0003579, 0000904, 0000751, 0000000, 0000751, 0000002, 0000003, 0000001, 0000000, 0000000, 0000000, 0000429, 0000000, 0000000, 0000000, 0000000, 0000004, 0000001, 0000079, 0000000, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000004, 0000219, 0000000, 0000005
אלון שבות, 0003604, 0002009, 0001663, 0000004, 0001659, 0000021, 0000010, 0000001, 0000000, 0000000, 0000000, 0001069, 0000000, 0000000, 0000000, 0000000, 0000025, 0000003, 0000398, 0000006, 0000004, 0000000, 0000000, 0000000, 0000014, 0000000, 0000001, 0000002, 0000102, 0000000, 0000003
אלוני אבא, 0000429, 0000611, 0000502, 0000000, 0000502, 0000274, 0000001, 0000000, 0000000, 0000000, 0000000, 0000011, 0000001, 0000000, 0000000, 0000000, 0000019, 0000001, 0000035, 0000068, 0000000, 0000000, 0000000, 0000000, 0000086, 0000000, 0000000, 0000002, 0000001, 0000000, 0000003
אלוני הבשן, 0004017, 0000184, 0000156, 0000000, 0000156, 0000001, 0000000, 0000000, 0000000, 0000000, 0000000, 0000088, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000044, 0000000, 0000000, 0000000, 0000000, 0000000, 0000002, 0000000, 0000000, 0000000, 0000014, 0000000, 0000000
אלוני יצחק, 0000868, 0000119, 0000027, 0000000, 0000027, 0000008, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000, 0000005, 0000001, 0000006, 0000003, 0000000, 0000000, 0000000, 0000000, 0000004, 0000000, 0000000, 0000000, 0000000, 0000000, 0000000
אלונים, 0000285, 0000517, 0000408, 0000005, 0000403, 0000260, 0000000, 0000000, 0000000, 0000000, 0000000, 0000007, 0000000, 0000000, 0000000, 0000000, 0000023, 0000003, 0000017, 0000030, 0000000, 0000000, 0000000, 0000000, 0000055, 0000001, 0000000, 0000007, 0000000, 0000000, 0000000
אלי-עד, 0004002, 0000260, 0000181, 0000000, 0000181, 0000060, 0000000, 0000001, 0000000, 0000000, 0000000, 0000024, 0000000, 0000000, 0000000, 0000000, 0000017, 0000007, 0000011, 0000007, 0000000, 0000000, 0000000, 0000000, 0000031, 0000000, 0000000, 0000019, 0000003, 0000000, 0000001
אליכין, 0000041, 0002459, 0001955, 0000017, 0001938, 0000286, 0000043, 0000001, 0000000, 0000000, 0000000, 0000212, 0000000, 0000000, 0000000, 0000000, 0000314, 0000010, 0000661, 0000020, 0000000, 0000000, 0000000, 0000000, 0000094, 0000001, 0000002, 0000021, 0000062, 0000001, 0000210
אליפלט, 0000730, 0000402, 0000293, 0000000, 0000293, 0000020, 0000007, 0000000, 0000000, 0000000, 0000000, 0000021, 0000000, 0000000, 0000000, 0000000, 0000042, 0000001, 0000176, 0000001, 0000000, 0000000, 0000000, 0000000, 0000001, 0000000, 0000001, 0000001, 0000004, 0000001, 0000017
אליקים, 0000682, 0000563, 0000432, 0000001, 0000431, 0000023, 0000015, 0000000, 0000000, 0000000, 0000000, 0000058, 0000000, 0000000, 0000000, 0000000, 0000038, 0000003, 0000196, 0000005, 0000000, 0000000, 0000000, 0000000, 0000013, 0000000, 0000001, 0000005, 0000017, 0000001, 0000056
אלישיב, 0000204, 0000467, 0000388, 0000001, 0000387, 0000056, 0000000, 0000000, 0000000, 0000000, 0000000, 0000036, 0000000, 0000000, 0000000, 0000000, 0000072, 0000004, 0000157, 0000009, 0000000, 0000001, 0000000, 0000000, 0000018, 0000000, 0000000, 0000006, 0000005, 0000000, 0000023
אלישמע, 0000841, 0000789, 0000626, 0000008, 0000618, 0000119, 0000002, 0000000, 0000000, 0000000, 0000000, 0000030, 0000000, 0000000, 0000000, 0000000, 0000137, 0000003, 0000203, 0000009, 0000000, 0000000, 0000000, 0000000, 0000040, 0000000, 0000000, 0000006, 0000008, 0000000, 0000061
אלמגור, 0001125, 0000240, 0000197, 0000000, 0000197, 0000126, 0000000, 0000001, 0000000, 0000000, 0000000, 0000006, 0000000, 0000000, 0000000, 0000000, 0000006, 0000002, 0000005, 0000022, 0000000, 0000000, 0000000, 0000000, 0000027, 0000000, 0000000, 0000001, 0000000, 0000001, 0000000
