"Date","Publisher","Pollster","Type","Sample","Party","Mandates","Election"
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"הבית היהודי",11,2015
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"יש עתיד",11,2015
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"יהדות התורה",7,2015
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"ישראל ביתנו",7,2015
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"כולנו",7,2015
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"שס",6,2015
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"יחד",5,2015
2015-02-15,"ערוץ 2","מדגם - גבע וצמח","פאנל",700,"מרצ",5,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"הליכוד",25,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"המחנה הציוני",23,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"הבית היהודי",13,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"יש עתיד",9,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"כולנו",8,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"יהדות התורה",7,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"ישראל ביתנו",7,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"שס",7,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"מרצ",5,2015
2015-02-12,"וואלה","טלסקר","מדגם",500,"יחד",4,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"הליכוד",25,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"המחנה הציוני",24,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"הבית היהודי",13,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"רשימה משותפת ערבית",13,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"יש עתיד",9,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"שס",8,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"יהדות התורה",7,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"כולנו",7,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"ישראל ביתנו",5,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"מרצ",5,2015
2015-02-12,"רשת ב","רפי סמית","מדגם",500,"יחד",4,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"הליכוד",24,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"המחנה הציוני",24,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"הבית היהודי",13,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"יש עתיד",9,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"כולנו",8,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"שס",8,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"יהדות התורה",7,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"ישראל ביתנו",6,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"מרצ",5,2015
2015-02-11,"גלובס","רפי סמית","מדגם",500,"יחד",4,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"הליכוד",24,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"המחנה הציוני",23,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"רשימה משותפת ערבית",13,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"יש עתיד",12,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"הבית היהודי",11,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"יהדות התורה",7,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"כולנו",7,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"ישראל ביתנו",6,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"מרצ",6,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"שס",6,2015
2015-02-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"יחד",5,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"הליכוד",27,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"המחנה הציוני",23,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"רשימה משותפת ערבית",12,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"הבית היהודי",11,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"יש עתיד",10,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"יהדות התורה",8,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"ישראל ביתנו",7,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"כולנו",7,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"שס",6,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"מרצ",5,2015
2015-02-10,"ערוץ 1","טלסקר","מדגם",600,"יחד",4,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"הליכוד",23,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"המחנה הציוני",23,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"הבית היהודי",12,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"יש עתיד",12,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"רשימה משותפת ערבית",12,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"כולנו",9,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"יהדות התורה",7,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"שס",7,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"יחד",5,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"ישראל ביתנו",5,2015
2015-02-09,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",690,"מרצ",5,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"הליכוד",23,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"המחנה הציוני",23,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"הבית היהודי",14,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"רשימה משותפת ערבית",13,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"יש עתיד",10,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"כולנו",10,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"יהדות התורה",6,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"שס",6,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"יחד",5,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"ישראל ביתנו",5,2015
2015-02-08,"ערוץ 10","קמיל פוקס","פאנל",863,"מרצ",5,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"המחנה הציוני",25,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"הליכוד",24,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"הבית היהודי",12,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"רשימה משותפת ערבית",12,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"יש עתיד",11,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"יהדות התורה",7,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"כולנו",7,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"שס",7,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"ישראל ביתנו",6,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"מרצ",5,2015
2015-02-05,"ידיעות אחרונות","מינה צמח","פאנל",700,"יחד",4,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"הליכוד",25,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"המחנה הציוני",24,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"הבית היהודי",14,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"יש עתיד",11,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"כולנו",8,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"יהדות התורה",6,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"מרצ",6,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"שס",6,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"יחד",4,2015
2015-02-05,"מקור ראשון","מאגר מוחות","מדגם",500,"ישראל ביתנו",4,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"הליכוד",27,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"המחנה הציוני",23,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"הבית היהודי",11,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"יש עתיד",11,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"יהדות התורה",8,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"כולנו",7,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"ישראל ביתנו",6,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"שס",6,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"מרצ",5,2015
2015-02-05,"ערוץ 1","טלסקר","מדגם",500,"יחד",4,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"הליכוד",26,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"המחנה הציוני",25,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"הבית היהודי",14,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"יש עתיד",9,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"שס",9,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"יהדות התורה",8,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"כולנו",7,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"ישראל ביתנו",5,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"מרצ",5,2015
2015-02-05,"רשת ב","רפי סמית","מדגם",500,"יחד",3.5,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"הליכוד",26,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"המחנה הציוני",23,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"הבית היהודי",12,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"יש עתיד",10,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"כולנו",8,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"יהדות התורה",7,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"ישראל ביתנו",7,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"שס",7,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"יחד",4,2015
2015-02-04,"וואלה","טלסקר","מדגם",500,"מרצ",4,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"הליכוד",26,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"המחנה הציוני",22,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"הבית היהודי",13,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"רשימה משותפת ערבית",12,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"יש עתיד",11,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"יהדות התורה",8,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"כולנו",7,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"מרצ",6,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"שס",6,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"ישראל ביתנו",5,2015
2015-02-04,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",538,"יחד",4,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"הליכוד",24,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"המחנה הציוני",24,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"הבית היהודי",14,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"רשימה משותפת ערבית",12,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"יש עתיד",11,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"כולנו",8,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"יהדות התורה",6,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"מרצ",6,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"שס",6,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"ישראל ביתנו",5,2015
2015-02-04,"קול ברמה","מאגר מוחות","מדגם",530,"יחד",4,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"המחנה הציוני",27,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"הליכוד",23,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"הבית היהודי",11,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"יש עתיד",11,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"רשימה משותפת ערבית",11,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"כולנו",10,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"יהדות התורה",7,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"ישראל ביתנו",7,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"שס",5,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"יחד",4,2015
2015-02-03,"times of israel","סטיבן מילר","מדגם",824,"מרצ",4,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"הליכוד",25,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"המחנה הציוני",24,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"הבית היהודי",13,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"רשימה משותפת ערבית",12,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"יש עתיד",11,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"כולנו",8,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"יהדות התורה",7,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"שס",6,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"ישראל ביתנו",5,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"מרצ",5,2015
2015-02-02,"ערוץ הכנסת","פאנלס פוליטיקס","פאנל",511,"יחד",4,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"הליכוד",25,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"המחנה הציוני",23,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"הבית היהודי",14,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"רשימה משותפת ערבית",12,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"יש עתיד",9,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"יהדות התורה",8,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"כולנו",8,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"ישראל ביתנו",6,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"שס",6,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"מרצ",5,2015
2015-02-01,"הארץ","קמיל פוקס","מדגם",514,"יחד",4,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"הליכוד",27,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"המחנה הציוני",26,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"הבית היהודי",12,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"יש עתיד",8,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"יהדות התורה",7,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"כולנו",7,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"שס",7,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"ישראל ביתנו",6,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"יחד",4,2015
2015-01-29,"וואלה","טלסקר","מדגם",500,"מרצ",4,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"הליכוד",26,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"המחנה הציוני",26,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"הבית היהודי",15,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"שס",9,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"יש עתיד",8,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"יהדות התורה",7,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"כולנו",7,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"ישראל ביתנו",5,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"מרצ",5,2015
2015-01-29,"רשת ב","רפי סמית","מדגם",500,"יחד",0,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"המחנה הציוני",25,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"הליכוד",24,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"הבית היהודי",16,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"יש עתיד",9,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"יהדות התורה",8,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"כולנו",8,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"שס",8,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"ישראל ביתנו",5,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"מרצ",5,2015
2015-01-28,"גלובס","רפי סמית","מדגם",500,"יחד",0,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"הליכוד",25,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"המחנה הציוני",24,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"הבית היהודי",14,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"רשימה משותפת ערבית",12,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"יש עתיד",11,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"יהדות התורה",8,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"כולנו",8,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"שס",7,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"מרצ",6,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"ישראל ביתנו",5,2015
2015-01-28,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",500,"יחד",0,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"הליכוד",27,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"המחנה הציוני",26,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"הבית היהודי",14,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"רשימה משותפת ערבית",12,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"יהדות התורה",8,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"יש עתיד",8,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"ישראל ביתנו",7,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"שס",7,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"כולנו",6,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"מרצ",5,2015
2015-01-28,"ערוץ 1","טלסקר","מדגם",500,"יחד",0,2015
2015-01-27,"ערוץ 10","קמיל פוקס","פאנל",869,"המחנה הציוני",25,2015
2015-01-27,"ערוץ 10","קמיל פוקס","פאנל",869,"הליכוד",23,2015
2015-01-27,"ערוץ 10","קמיל פוקס","פאנל",869,"הבית היהודי",16,2015
2015-01-27,"ערוץ 10","קמיל פוקס","פאנל",869,"רשימה משותפת ערבית",12,2015
2015-01-27,"ערוץ 10","קמיל פוקס","פאנל",869,"יש עתיד",10,2015
2015-01-27,"ערוץ 10","קמיל פוקס","פאנל",869,"כולנו",9,2015
2015-01-27,"ערוץ 10","קמיל פוקס","פאנל",869,"יהדות התורה",6,2015
2015-01-27,"ערוץ 10","קמיל פוקס","פאנל",869,"שס",6,2015
2015-01-27,"ערוץ 10","קמיל פוקס","פאנל",869,"מרצ",5,2015
2015-01-27,"ערוץ 10","קמיל פוקס","פאנל",869,"יחד",4,2015
