 שם ישוב,סמל ישוב,מספר קלפי,בזב,מצביעים,פסולים,כשרים,אמת,ג,ודעם,ז,זך,זץ,טב,י,יז,יך,יץ,כ,ל,מחל,מרצ,נז,ני,נץ,ע,פה,ף,ףץ,קנ,קץ,רק,שס
אבו סנאן, 000473, 0012.0, 000757, 000486, 000001, 000485, 000026, 000001, 000251, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000000, 000031, 000097, 000018, 000003, 000000, 000000, 000001, 000010, 000004, 000000, 000000, 000000, 000011, 000001, 000029
אבו עבדון (שבט), 000958, 0001.0, 000119, 000037, 000001, 000036, 000000, 000000, 000035, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אבו קורינאת (שבט), 000968, 0001.0, 000700, 000190, 000003, 000187, 000018, 000001, 000147, 000000, 000000, 000000, 000002, 000002, 000001, 000000, 000000, 000000, 000001, 000003, 000001, 000000, 000000, 000000, 000005, 000003, 000000, 000000, 000000, 000000, 000000, 000003
אבו קורינאת (שבט), 000968, 0002.0, 000579, 000175, 000000, 000175, 000020, 000001, 000127, 000001, 000001, 000000, 000000, 000001, 000000, 000000, 000000, 000002, 000000, 000004, 000000, 000000, 000000, 000000, 000003, 000010, 000001, 000000, 000001, 000001, 000000, 000002
אבו קורינאת (שבט), 000968, 0003.0, 000749, 000242, 000004, 000238, 000027, 000001, 000182, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000001, 000002, 000000, 000001, 000003, 000000, 000000, 000000, 000008, 000005, 000000, 000000, 000000, 000003, 000003, 000001
אבו קורינאת (שבט), 000968, 0004.0, 000657, 000152, 000000, 000152, 000019, 000000, 000108, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000002, 000000, 000000, 000001, 000007, 000007, 000000, 000001, 000002, 000000, 000002, 000002
אבו קרינאת (יישוב, 001342, 0001.0, 000154, 000065, 000001, 000064, 000004, 000000, 000050, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000004, 000000, 000000, 000000, 000001, 000000, 000002
אבו רובייעה (שבט), 000966, 0001.0, 000757, 000161, 000004, 000157, 000015, 000001, 000123, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000002, 000003, 000000, 000000, 000000, 000004, 000004, 000001, 000000, 000000, 000001, 000000, 000003
אבו רובייעה (שבט), 000966, 0002.0, 000664, 000138, 000000, 000138, 000014, 000000, 000104, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000002, 000002, 000000, 000000, 000000, 000006, 000005, 000000, 000001, 000000, 000000, 000000, 000003
אבו רובייעה (שבט), 000966, 0003.0, 000667, 000144, 000004, 000140, 000008, 000000, 000098, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000004, 000002, 000000, 000001, 000000, 000011, 000010, 000000, 000000, 000000, 000003, 000000, 000002
אבו רובייעה (שבט), 000966, 0004.0, 000713, 000142, 000001, 000141, 000010, 000000, 000112, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000006, 000007, 000000, 000000, 000001, 000000, 000000, 000003
אבו רובייעה (שבט), 000966, 0005.0, 000701, 000131, 000002, 000129, 000007, 000000, 000099, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000002, 000001, 000000, 000000, 000000, 000008, 000003, 000000, 000001, 000000, 000002, 000000, 000005
אבו רוקייק (שבט), 000961, 0001.0, 000494, 000094, 000001, 000093, 000001, 000000, 000081, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000002, 000003, 000000, 000001, 000000, 000002, 000001, 000000, 000000, 000000, 000000, 000000, 000001
אבו רוקייק (שבט), 000961, 0002.0, 000654, 000209, 000000, 000209, 000002, 000000, 000191, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000001, 000000, 000000, 000005, 000006, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000001
אבו רוקייק (שבט), 000961, 0003.0, 000546, 000185, 000002, 000183, 000004, 000000, 000152, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000001, 000000, 000000, 000008, 000000, 000000, 000000, 000014, 000001, 000000, 000000, 000000, 000002, 000000, 000000
אבו רוקייק (שבט), 000961, 0004.0, 000657, 000207, 000002, 000205, 000006, 000000, 000182, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000001, 000001, 000001, 000000, 000002, 000000, 000000, 000001, 000008, 000000, 000000, 000000, 000001, 000000, 000000, 000001
אבו רוקייק (שבט), 000961, 0005.0, 000591, 000200, 000002, 000198, 000006, 000000, 000174, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000005, 000000, 000000, 000000, 000008, 000000, 000001, 000000, 000000, 000000, 000000, 000001
אבו רוקייק (שבט), 000961, 0006.0, 000629, 000212, 000001, 000211, 000006, 000000, 000188, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000009, 000000, 000000, 000000, 000001, 000000, 000000, 000004
אבו רוקייק (שבט), 000961, 0007.0, 000634, 000164, 000002, 000162, 000006, 000001, 000144, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000004, 000000, 000000, 000001, 000001, 000000, 000000, 000000
אבטין, 000652, 0001.0, 000537, 000234, 000009, 000225, 000019, 000000, 000185, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000006, 000000, 000003, 000003, 000000, 000000, 000000, 000006, 000000, 000000, 000000, 000000, 000000, 000000, 000002
אבטין, 000652, 0002.0, 000509, 000203, 000000, 000203, 000005, 000000, 000193, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000001, 000000, 000001, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000001
אבטין, 000652, 0003.0, 000586, 000370, 000006, 000364, 000026, 000000, 000322, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000004, 000000, 000000, 000000, 000004, 000003, 000000, 000000, 000000, 000000, 000000, 000002
אבטליון, 001275, 0001.0, 000229, 000188, 000001, 000187, 000089, 000000, 000002, 000000, 000000, 000000, 000010, 000000, 000000, 000000, 000000, 000016, 000001, 000023, 000025, 000000, 000000, 000000, 000000, 000016, 000000, 000000, 000005, 000000, 000000, 000000
אביאל, 000679, 0001.0, 000505, 000414, 000001, 000413, 000153, 000001, 000000, 000000, 000000, 000000, 000010, 000000, 000000, 000000, 000000, 000053, 000003, 000088, 000041, 000000, 000000, 000000, 000000, 000058, 000000, 000000, 000005, 000001, 000000, 000000
אביבים, 001115, 0001.0, 000336, 000230, 000002, 000228, 000006, 000004, 000000, 000000, 000000, 000000, 000013, 000000, 000000, 000000, 000000, 000018, 000002, 000140, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000003, 000001, 000000, 000040
אביגדור, 000819, 0001.0, 000569, 000475, 000000, 000475, 000254, 000000, 000000, 000000, 000000, 000000, 000019, 000000, 000000, 000000, 000000, 000028, 000003, 000045, 000034, 000000, 000000, 000000, 000000, 000080, 000000, 000000, 000005, 000000, 000000, 000007
אביחיל, 000175, 0001.0, 000427, 000318, 000000, 000318, 000159, 000001, 000000, 000000, 000000, 000000, 000018, 000000, 000000, 000000, 000000, 000018, 000002, 000037, 000034, 000000, 000000, 000000, 000000, 000044, 000000, 000000, 000001, 000000, 000001, 000003
אביחיל, 000175, 0002.0, 000522, 000417, 000003, 000414, 000221, 000000, 000001, 000000, 000000, 000001, 000006, 000000, 000000, 000000, 000000, 000018, 000000, 000040, 000037, 000000, 000000, 000000, 000000, 000084, 000000, 000000, 000004, 000001, 000001, 000000
אביטל, 002052, 0001.0, 000379, 000290, 000002, 000288, 000016, 000000, 000000, 000000, 000000, 000000, 000023, 000000, 000000, 000000, 000000, 000029, 000001, 000176, 000001, 000000, 000000, 000000, 000000, 000005, 000000, 000000, 000002, 000019, 000000, 000016
אביעזר, 001070, 0001.0, 000495, 000406, 000000, 000406, 000081, 000004, 000003, 000000, 000000, 000000, 000046, 000000, 000000, 000000, 000000, 000028, 000013, 000130, 000025, 000000, 000000, 000000, 000000, 000052, 000000, 000000, 000002, 000010, 000001, 000011
אבירים, 001220, 0001.0, 000160, 000123, 000001, 000122, 000048, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000006, 000001, 000009, 000034, 000000, 000000, 000000, 000000, 000012, 000000, 000000, 000004, 000001, 000000, 000004
אבן יהודה, 000182, 0001.0, 000732, 000575, 000001, 000574, 000194, 000005, 000000, 000000, 000000, 000000, 000026, 000000, 000000, 000000, 000000, 000056, 000006, 000106, 000053, 000000, 000000, 000000, 000000, 000090, 000000, 000002, 000009, 000011, 000000, 000016
אבן יהודה, 000182, 0002.0, 000586, 000438, 000002, 000436, 000116, 000003, 000000, 000000, 000000, 000001, 000018, 000000, 000000, 000000, 000000, 000058, 000007, 000126, 000023, 000000, 000000, 000000, 000000, 000050, 000000, 000000, 000008, 000002, 000000, 000024
אבן יהודה, 000182, 0003.0, 000765, 000625, 000001, 000624, 000269, 000001, 000001, 000000, 000000, 000001, 000012, 000000, 000000, 000000, 000000, 000042, 000006, 000089, 000040, 000001, 000000, 000000, 000000, 000154, 000000, 000000, 000004, 000000, 000000, 000004
אבן יהודה, 000182, 0004.0, 000714, 000558, 000004, 000554, 000249, 000002, 000000, 000000, 000001, 000000, 000017, 000000, 000000, 000000, 000000, 000031, 000002, 000081, 000038, 000001, 000001, 000001, 000000, 000117, 000000, 000000, 000009, 000002, 000000, 000002
אבן יהודה, 000182, 0005.0, 000589, 000430, 000007, 000423, 000122, 000001, 000000, 000000, 000000, 000000, 000016, 000000, 000000, 000000, 000000, 000050, 000002, 000117, 000019, 000000, 000000, 000000, 000000, 000077, 000000, 000000, 000006, 000005, 000001, 000007
אבן יהודה, 000182, 0006.0, 000696, 000558, 000002, 000556, 000240, 000002, 000002, 000000, 000000, 000001, 000023, 000000, 000000, 000000, 000000, 000037, 000004, 000054, 000039, 000000, 000000, 000000, 000000, 000141, 000000, 000000, 000006, 000004, 000000, 000003
אבן יהודה, 000182, 0007.0, 000680, 000573, 000000, 000573, 000221, 000002, 000000, 000000, 000000, 000000, 000028, 000000, 000000, 000000, 000000, 000045, 000002, 000098, 000029, 000000, 000000, 000000, 000001, 000138, 000000, 000001, 000001, 000004, 000001, 000002
אבן יהודה, 000182, 0008.0, 000481, 000378, 000000, 000378, 000068, 000005, 000000, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000000, 000054, 000001, 000152, 000009, 000000, 000000, 000000, 000000, 000038, 000001, 000000, 000002, 000003, 000001, 000022
אבן יהודה, 000182, 0009.0, 000510, 000408, 000000, 000408, 000203, 000001, 000003, 000000, 000000, 000000, 000009, 000000, 000000, 000000, 000000, 000016, 000004, 000034, 000048, 000000, 000000, 000000, 000000, 000085, 000000, 000001, 000002, 000000, 000002, 000000
אבן יהודה, 000182, 0010.0, 000659, 000510, 000005, 000505, 000177, 000003, 000000, 000000, 000000, 000000, 000028, 000000, 000000, 000000, 000000, 000054, 000010, 000104, 000029, 000000, 000000, 000000, 000000, 000080, 000000, 000000, 000004, 000003, 000000, 000013
אבן יהודה, 000182, 0011.0, 000763, 000611, 000002, 000609, 000252, 000004, 000000, 000000, 000000, 000000, 000023, 000000, 000000, 000000, 000000, 000051, 000015, 000078, 000043, 000000, 000000, 000000, 000000, 000134, 000000, 000000, 000005, 000002, 000000, 000002
אבן יהודה, 000182, 0012.0, 000457, 000360, 000004, 000356, 000173, 000000, 000002, 000000, 000000, 000000, 000013, 000000, 000000, 000000, 000000, 000037, 000001, 000050, 000035, 000000, 000000, 000000, 000000, 000039, 000000, 000000, 000003, 000001, 000000, 000002
אבן יהודה, 000182, 0013.0, 000464, 000365, 000002, 000363, 000040, 000006, 000000, 000000, 000000, 000000, 000046, 000000, 000000, 000000, 000000, 000052, 000004, 000173, 000003, 000000, 000000, 000000, 000000, 000011, 000000, 000000, 000012, 000006, 000000, 000010
אבן יהודה, 000182, 0014.0, 000549, 000444, 000002, 000442, 000217, 000002, 000000, 000000, 000000, 000000, 000008, 000000, 000000, 000000, 000000, 000026, 000000, 000054, 000031, 000000, 000000, 000000, 000001, 000082, 000000, 000000, 000007, 000010, 000000, 000004
אבן יהודה, 000182, 0015.0, 000561, 000452, 000004, 000448, 000198, 000000, 000001, 000000, 000000, 000000, 000015, 000000, 000000, 000000, 000000, 000020, 000002, 000060, 000043, 000001, 000000, 000000, 000000, 000104, 000001, 000000, 000002, 000000, 000000, 000001
אבן מנחם, 001081, 0001.0, 000266, 000199, 000001, 000198, 000028, 000002, 000000, 000000, 000000, 000000, 000006, 000000, 000000, 000000, 000000, 000012, 000003, 000092, 000000, 000000, 000000, 000000, 000000, 000019, 000000, 000000, 000004, 000001, 000000, 000031
אבן ספיר, 000783, 0001.0, 000504, 000379, 000000, 000379, 000071, 000001, 000000, 000000, 000000, 000000, 000015, 000000, 000000, 000000, 000000, 000047, 000014, 000172, 000015, 000001, 000000, 000000, 000000, 000017, 000000, 000000, 000010, 000002, 000001, 000013
אבן שמואל, 000400, 0001.0, 000586, 000522, 000003, 000519, 000007, 000006, 000000, 000000, 000000, 000000, 000232, 000000, 000000, 000000, 000000, 000015, 000000, 000116, 000001, 000001, 000000, 000000, 000000, 000002, 000000, 000000, 000002, 000118, 000000, 000019
אבני איתן, 004011, 0001.0, 000366, 000285, 000000, 000285, 000002, 000001, 000000, 000000, 000000, 000000, 000153, 000000, 000000, 000000, 000000, 000010, 000000, 000054, 000002, 000001, 000000, 000001, 000000, 000004, 000000, 000000, 000008, 000049, 000000, 000000
אבני חפץ, 003793, 0001.0, 000631, 000541, 000002, 000539, 000001, 000000, 000000, 000000, 000000, 000000, 000286, 000000, 000000, 000000, 000000, 000009, 000002, 000107, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000001, 000108, 000000, 000024
אבני חפץ, 003793, 0002.0, 000223, 000194, 000000, 000194, 000001, 000000, 000000, 000000, 000000, 000000, 000103, 000000, 000000, 000000, 000000, 000005, 000002, 000040, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000033, 000000, 000008
אבשלום, 001311, 0001.0, 000205, 000142, 000004, 000138, 000020, 000002, 000000, 000001, 000000, 000000, 000006, 000000, 000000, 000000, 000000, 000016, 000044, 000029, 000002, 000000, 000000, 000000, 000000, 000009, 000000, 000000, 000008, 000000, 000001, 000000
אדורה, 003759, 0001.0, 000220, 000176, 000000, 000176, 000024, 000000, 000000, 000000, 000000, 000000, 000057, 000000, 000000, 000000, 000000, 000019, 000003, 000039, 000001, 000000, 000000, 000000, 000000, 000010, 000000, 000000, 000004, 000018, 000000, 000001
אדירים, 000113, 0001.0, 000209, 000163, 000003, 000160, 000002, 000004, 000000, 000000, 000000, 000000, 000022, 000000, 000000, 000000, 000000, 000007, 000001, 000056, 000000, 000000, 000000, 000000, 000000, 000004, 000000, 000000, 000001, 000004, 000000, 000059
אדמית, 001068, 0001.0, 000292, 000160, 000000, 000160, 000042, 000000, 000012, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000000, 000013, 000008, 000011, 000045, 000000, 000000, 000000, 000001, 000010, 000001, 000000, 000013, 000000, 000002, 000000
אדרת, 001123, 0001.0, 000498, 000383, 000002, 000381, 000012, 000001, 000001, 000000, 000000, 000000, 000078, 000000, 000000, 000000, 000000, 000021, 000010, 000193, 000009, 000003, 000000, 000000, 000000, 000015, 000000, 000000, 000003, 000009, 000000, 000026
אודים, 000446, 0001.0, 000714, 000590, 000002, 000588, 000284, 000001, 000000, 000000, 000000, 000000, 000018, 000000, 000000, 000000, 000000, 000028, 000006, 000067, 000064, 000000, 000000, 000000, 000000, 000106, 000000, 000001, 000008, 000001, 000000, 000004
אודם, 004010, 0001.0, 000102, 000080, 000000, 000080, 000029, 000000, 000000, 000000, 000000, 000000, 000008, 000000, 000000, 000000, 000000, 000008, 000001, 000008, 000005, 000000, 000000, 000000, 000000, 000016, 000000, 000000, 000005, 000000, 000000, 000000
אוהד, 001046, 0001.0, 000243, 000187, 000001, 000186, 000061, 000000, 000002, 000000, 000000, 000000, 000010, 000000, 000000, 000000, 000000, 000013, 000003, 000059, 000006, 000000, 000000, 000000, 000000, 000021, 000000, 000000, 000002, 000004, 000000, 000005
אום אל-פחם, 002710, 0001.0, 000516, 000267, 000001, 000266, 000000, 000001, 000263, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0002.0, 000692, 000461, 000004, 000457, 000000, 000000, 000440, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000001, 000012, 000001, 000000, 000001, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0003.0, 000579, 000443, 000002, 000441, 000001, 000005, 000430, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000005, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0004.0, 000653, 000433, 000007, 000426, 000002, 000000, 000412, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000002, 000008, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0005.0, 000597, 000355, 000001, 000354, 000001, 000000, 000345, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000001, 000000, 000001, 000003, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000001, 000000, 000000
אום אל-פחם, 002710, 0006.0, 000545, 000376, 000000, 000376, 000000, 000000, 000364, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000004, 000001, 000000, 000002, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000000, 000000, 000001
אום אל-פחם, 002710, 0007.0, 000512, 000256, 000000, 000256, 000001, 000000, 000251, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0008.0, 000534, 000349, 000003, 000346, 000002, 000002, 000335, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000004, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000000
אום אל-פחם, 002710, 0009.0, 000519, 000428, 000004, 000424, 000003, 000000, 000414, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000006, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0010.0, 000705, 000440, 000003, 000437, 000013, 000000, 000401, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000021, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001
אום אל-פחם, 002710, 0011.0, 000629, 000418, 000007, 000411, 000000, 000000, 000000, 000405, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000001, 000003, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0012.0, 000666, 000401, 000002, 000399, 000004, 000000, 000392, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0013.0, 000525, 000385, 000002, 000383, 000001, 000000, 000376, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000005, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0014.0, 000575, 000327, 000002, 000325, 000001, 000000, 000317, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000005, 000000, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0015.0, 000679, 000535, 000003, 000532, 000002, 000000, 000517, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000005, 000000, 000000, 000000, 000004, 000000, 000000, 000001, 000001, 000000, 000001, 000000
אום אל-פחם, 002710, 0016.0, 000530, 000310, 000000, 000310, 000003, 000000, 000298, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000002, 000002, 000000, 000000, 000000, 000004, 000000, 000000, 000000, 000000, 000001, 000000, 000000
אום אל-פחם, 002710, 0017.0, 000510, 000438, 000005, 000433, 000000, 000000, 000427, 000000, 000000, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000002, 000000, 000000, 000000, 000003, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0018.0, 000711, 000463, 000002, 000461, 000000, 000000, 000443, 000000, 000000, 000002, 000000, 000000, 000000, 000000, 000000, 000001, 000000, 000001, 000008, 000000, 000000, 000000, 000006, 000000, 000000, 000000, 000000, 000000, 000000, 000000
אום אל-פחם, 002710, 0019.0, 000690, 000633, 000004, 000629, 000002, 000000, 000593, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000033, 000000, 000001, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000, 000000
