"Date","Publisher","Pollster","Type","Sample","Party","Mandates","Election","Mandate.Group","Results","Party.En","Attribute","Attribute.En","Origin","Ideology","Ideology.En","Ideology.Group","Ideology.Group.En","Publisher.En","Pollster.En","Error","Error.abs","week","month","year","Partyid","Pollsterid","Publisherid","Election.Date","DaysLeft","Sample.Error","Mandates.lb","Mandates.ub"
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"רשימה משותפת ערבית",13,2015,"(10,15]",13,"Combined Arab Parties","איחוד","combined","I-J-K-L","שמאל","Left","שמאל","left","Channel 2","Midgam - Geva Tsemach",0,0,"5","03","2015",26,6,20,2015-03-17,4,0.0447213595499958,12,13
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"יש עתיד",12,2015,"(10,15]",12,"Yesh Atid","ישן","old","Q","מרכז-ימין","Center-Right","ימין","right","Channel 2","Midgam - Geva Tsemach",0,0,"5","03","2015",14,6,20,2015-03-17,4,0.0447213595499958,11,12
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"הבית היהודי",11,2015,"(10,15]",8,"Habayit Hayehudi","איחוד","combined","E-F","ימין","Right","ימין","right","Channel 2","Midgam - Geva Tsemach",3,3,"5","03","2015",4,6,20,2015-03-17,4,0.0447213595499958,10,11
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"כולנו",8,2015,"(5,10]",10,"Kulanu","פיצול,חדש","new,split","Ad","מרכז-ימין","Center-Right","ימין","right","Channel 2","Midgam - Geva Tsemach",-2,2,"5","03","2015",17,6,20,2015-03-17,4,0.0447213595499958,7,8
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"שס",7,2015,"(5,10]",7,"Shas","פיצול,ישן","old,split","Da","ימין","Right","ימין","right","Channel 2","Midgam - Geva Tsemach",0,0,"5","03","2015",29,6,20,2015-03-17,4,0.0447213595499958,6,7
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"יהדות התורה",6,2015,"(5,10]",6,"Yehadut Hatorah","ישן","old","H","ימין","Right","ימין","right","Channel 2","Midgam - Geva Tsemach",0,0,"5","03","2015",12,6,20,2015-03-17,4,0.0447213595499958,5,6
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"ישראל ביתנו",5,2015,"(1,5]",5,"Israel Beytenu","פיצול,ישן","old,split","Ac","ימין","Right","ימין","right","Channel 2","Midgam - Geva Tsemach",0,0,"5","03","2015",15,6,20,2015-03-17,4,0.0447213595499958,4,5
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"יחד",5,2015,"(1,5]",0,"Yachad","פיצול,חדש","new,split","Db","ימין","Right","ימין","right","Channel 2","Midgam - Geva Tsemach",5,5,"5","03","2015",13,6,20,2015-03-17,4,0.0447213595499958,4,5
2015-03-13,"ערוץ 2","מדגם - גבע וצמח","פאנל",500,"מרצ",5,2015,"(1,5]",5,"Meretz","ישן","old","G","שמאל","Left","שמאל","left","Channel 2","Midgam - Geva Tsemach",0,0,"5","03","2015",19,6,20,2015-03-17,4,0.0447213595499958,4,5
2015-03-12,"וואלה","טלסקר","מדגם",1000,"המחנה הציוני",25,2015,"(20,30]",27,"Hamachane Hazioni","איחוד","combined","Abb-B","מרכז-שמאל","Center-Left","שמאל","left","Walla","Teleseker",-2,2,"4","03","2015",7,4,9,2015-03-17,5,0.0316227766016838,24,25
2015-03-12,"וואלה","טלסקר","מדגם",1000,"הליכוד",23,2015,"(20,30]",27,"Likud","פיצול,ישן","old,split","Aa","ימין","Right","ימין","right","Walla","Teleseker",-4,4,"4","03","2015",5,4,9,2015-03-17,5,0.0316227766016838,22,23
2015-03-12,"וואלה","טלסקר","מדגם",1000,"יש עתיד",12,2015,"(10,15]",12,"Yesh Atid","ישן","old","Q","מרכז-ימין","Center-Right","ימין","right","Walla","Teleseker",0,0,"4","03","2015",14,4,9,2015-03-17,5,0.0316227766016838,11,12
2015-03-12,"וואלה","טלסקר","מדגם",1000,"רשימה משותפת ערבית",12,2015,"(10,15]",13,"Combined Arab Parties","איחוד","combined","I-J-K-L","שמאל","Left","שמאל","left","Walla","Teleseker",-1,1,"4","03","2015",26,4,9,2015-03-17,5,0.0316227766016838,11,12
2015-03-12,"וואלה","טלסקר","מדגם",1000,"הבית היהודי",11,2015,"(10,15]",8,"Habayit Hayehudi","איחוד","combined","E-F","ימין","Right","ימין","right","Walla","Teleseker",3,3,"4","03","2015",4,4,9,2015-03-17,5,0.0316227766016838,10,11
2015-03-12,"וואלה","טלסקר","מדגם",1000,"כולנו",9,2015,"(5,10]",10,"Kulanu","פיצול,חדש","new,split","Ad","מרכז-ימין","Center-Right","ימין","right","Walla","Teleseker",-1,1,"4","03","2015",17,4,9,2015-03-17,5,0.0316227766016838,8,9
2015-03-12,"וואלה","טלסקר","מדגם",1000,"יהדות התורה",7,2015,"(5,10]",6,"Yehadut Hatorah","ישן","old","H","ימין","Right","ימין","right","Walla","Teleseker",1,1,"4","03","2015",12,4,9,2015-03-17,5,0.0316227766016838,6,7
2015-03-12,"וואלה","טלסקר","מדגם",1000,"שס",7,2015,"(5,10]",7,"Shas","פיצול,ישן","old,split","Da","ימין","Right","ימין","right","Walla","Teleseker",0,0,"4","03","2015",29,4,9,2015-03-17,5,0.0316227766016838,6,7
2015-03-12,"וואלה","טלסקר","מדגם",1000,"ישראל ביתנו",6,2015,"(5,10]",5,"Israel Beytenu","פיצול,ישן","old,split","Ac","ימין","Right","ימין","right","Walla","Teleseker",1,1,"4","03","2015",15,4,9,2015-03-17,5,0.0316227766016838,5,6
2015-03-12,"וואלה","טלסקר","מדגם",1000,"יחד",4,2015,"(1,5]",0,"Yachad","פיצול,חדש","new,split","Db","ימין","Right","ימין","right","Walla","Teleseker",4,4,"4","03","2015",13,4,9,2015-03-17,5,0.0316227766016838,3,4
2015-03-12,"וואלה","טלסקר","מדגם",1000,"מרצ",4,2015,"(1,5]",5,"Meretz","ישן","old","G","שמאל","Left","שמאל","left","Walla","Teleseker",-1,1,"4","03","2015",19,4,9,2015-03-17,5,0.0316227766016838,3,4
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"המחנה הציוני",26,2015,"(20,30]",27,"Hamachane Hazioni","איחוד","combined","Abb-B","מרכז-שמאל","Center-Left","שמאל","left","Yediot Achronot","Midgam - Geva Tsemach",-1,1,"4","03","2015",7,6,10,2015-03-17,5,0.0311286403182345,25,26
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"הליכוד",22,2015,"(20,30]",27,"Likud","פיצול,ישן","old,split","Aa","ימין","Right","ימין","right","Yediot Achronot","Midgam - Geva Tsemach",-5,5,"4","03","2015",5,6,10,2015-03-17,5,0.0311286403182345,21,22
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"רשימה משותפת ערבית",13,2015,"(10,15]",13,"Combined Arab Parties","איחוד","combined","I-J-K-L","שמאל","Left","שמאל","left","Yediot Achronot","Midgam - Geva Tsemach",0,0,"4","03","2015",26,6,10,2015-03-17,5,0.0311286403182345,12,13
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"הבית היהודי",12,2015,"(10,15]",8,"Habayit Hayehudi","איחוד","combined","E-F","ימין","Right","ימין","right","Yediot Achronot","Midgam - Geva Tsemach",4,4,"4","03","2015",4,6,10,2015-03-17,5,0.0311286403182345,11,12
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"יש עתיד",12,2015,"(10,15]",12,"Yesh Atid","ישן","old","Q","מרכז-ימין","Center-Right","ימין","right","Yediot Achronot","Midgam - Geva Tsemach",0,0,"4","03","2015",14,6,10,2015-03-17,5,0.0311286403182345,11,12
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"כולנו",8,2015,"(5,10]",10,"Kulanu","פיצול,חדש","new,split","Ad","מרכז-ימין","Center-Right","ימין","right","Yediot Achronot","Midgam - Geva Tsemach",-2,2,"4","03","2015",17,6,10,2015-03-17,5,0.0311286403182345,7,8
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"שס",7,2015,"(5,10]",7,"Shas","פיצול,ישן","old,split","Da","ימין","Right","ימין","right","Yediot Achronot","Midgam - Geva Tsemach",0,0,"4","03","2015",29,6,10,2015-03-17,5,0.0311286403182345,6,7
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"יהדות התורה",6,2015,"(5,10]",6,"Yehadut Hatorah","ישן","old","H","ימין","Right","ימין","right","Yediot Achronot","Midgam - Geva Tsemach",0,0,"4","03","2015",12,6,10,2015-03-17,5,0.0311286403182345,5,6
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"ישראל ביתנו",5,2015,"(1,5]",5,"Israel Beytenu","פיצול,ישן","old,split","Ac","ימין","Right","ימין","right","Yediot Achronot","Midgam - Geva Tsemach",0,0,"4","03","2015",15,6,10,2015-03-17,5,0.0311286403182345,4,5
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"מרצ",5,2015,"(1,5]",5,"Meretz","ישן","old","G","שמאל","Left","שמאל","left","Yediot Achronot","Midgam - Geva Tsemach",0,0,"4","03","2015",19,6,10,2015-03-17,5,0.0311286403182345,4,5
2015-03-12,"ידיעות אחרונות","מדגם - גבע וצמח","מדגם",1032,"יחד",4,2015,"(1,5]",0,"Yachad","פיצול,חדש","new,split","Db","ימין","Right","ימין","right","Yediot Achronot","Midgam - Geva Tsemach",4,4,"4","03","2015",13,6,10,2015-03-17,5,0.0311286403182345,3,4
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"המחנה הציוני",25,2015,"(20,30]",27,"Hamachane Hazioni","איחוד","combined","Abb-B","מרכז-שמאל","Center-Left","שמאל","left","Maariv - Weekend","Panel Politics",-2,2,"4","03","2015",7,12,15,2015-03-17,5,0.03103854276221,24,25
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"הליכוד",21,2015,"(20,30]",27,"Likud","פיצול,ישן","old,split","Aa","ימין","Right","ימין","right","Maariv - Weekend","Panel Politics",-6,6,"4","03","2015",5,12,15,2015-03-17,5,0.03103854276221,20,21
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"יש עתיד",13,2015,"(10,15]",12,"Yesh Atid","ישן","old","Q","מרכז-ימין","Center-Right","ימין","right","Maariv - Weekend","Panel Politics",1,1,"4","03","2015",14,12,15,2015-03-17,5,0.03103854276221,12,13
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"רשימה משותפת ערבית",13,2015,"(10,15]",13,"Combined Arab Parties","איחוד","combined","I-J-K-L","שמאל","Left","שמאל","left","Maariv - Weekend","Panel Politics",0,0,"4","03","2015",26,12,15,2015-03-17,5,0.03103854276221,12,13
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"הבית היהודי",11,2015,"(10,15]",8,"Habayit Hayehudi","איחוד","combined","E-F","ימין","Right","ימין","right","Maariv - Weekend","Panel Politics",3,3,"4","03","2015",4,12,15,2015-03-17,5,0.03103854276221,10,11
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"כולנו",10,2015,"(5,10]",10,"Kulanu","פיצול,חדש","new,split","Ad","מרכז-ימין","Center-Right","ימין","right","Maariv - Weekend","Panel Politics",0,0,"4","03","2015",17,12,15,2015-03-17,5,0.03103854276221,9,10
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"שס",7,2015,"(5,10]",7,"Shas","פיצול,ישן","old,split","Da","ימין","Right","ימין","right","Maariv - Weekend","Panel Politics",0,0,"4","03","2015",29,12,15,2015-03-17,5,0.03103854276221,6,7
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"יהדות התורה",6,2015,"(5,10]",6,"Yehadut Hatorah","ישן","old","H","ימין","Right","ימין","right","Maariv - Weekend","Panel Politics",0,0,"4","03","2015",12,12,15,2015-03-17,5,0.03103854276221,5,6
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"יחד",5,2015,"(1,5]",0,"Yachad","פיצול,חדש","new,split","Db","ימין","Right","ימין","right","Maariv - Weekend","Panel Politics",5,5,"4","03","2015",13,12,15,2015-03-17,5,0.03103854276221,4,5
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"מרצ",5,2015,"(1,5]",5,"Meretz","ישן","old","G","שמאל","Left","שמאל","left","Maariv - Weekend","Panel Politics",0,0,"4","03","2015",19,12,15,2015-03-17,5,0.03103854276221,4,5
2015-03-12,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1038,"ישראל ביתנו",4,2015,"(1,5]",5,"Israel Beytenu","פיצול,ישן","old,split","Ac","ימין","Right","ימין","right","Maariv - Weekend","Panel Politics",-1,1,"4","03","2015",15,12,15,2015-03-17,5,0.03103854276221,3,4
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"המחנה הציוני",25,2015,"(20,30]",27,"Hamachane Hazioni","איחוד","combined","Abb-B","מרכז-שמאל","Center-Left","שמאל","left","Reshet Bet","Raffi Smit",-2,2,"4","03","2015",7,15,26,2015-03-17,5,0.0447213595499958,23,26
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"הליכוד",21,2015,"(20,30]",27,"Likud","פיצול,ישן","old,split","Aa","ימין","Right","ימין","right","Reshet Bet","Raffi Smit",-6,6,"4","03","2015",5,15,26,2015-03-17,5,0.0447213595499958,20,21
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"רשימה משותפת ערבית",13,2015,"(10,15]",13,"Combined Arab Parties","איחוד","combined","I-J-K-L","שמאל","Left","שמאל","left","Reshet Bet","Raffi Smit",0,0,"4","03","2015",26,15,26,2015-03-17,5,0.0447213595499958,12,13
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"הבית היהודי",11,2015,"(10,15]",8,"Habayit Hayehudi","איחוד","combined","E-F","ימין","Right","ימין","right","Reshet Bet","Raffi Smit",3,3,"4","03","2015",4,15,26,2015-03-17,5,0.0447213595499958,10,11
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"יש עתיד",11,2015,"(10,15]",12,"Yesh Atid","ישן","old","Q","מרכז-ימין","Center-Right","ימין","right","Reshet Bet","Raffi Smit",-1,1,"4","03","2015",14,15,26,2015-03-17,5,0.0447213595499958,10,11
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"כולנו",9,2015,"(5,10]",10,"Kulanu","פיצול,חדש","new,split","Ad","מרכז-ימין","Center-Right","ימין","right","Reshet Bet","Raffi Smit",-1,1,"4","03","2015",17,15,26,2015-03-17,5,0.0447213595499958,8,9
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"שס",9,2015,"(5,10]",7,"Shas","פיצול,ישן","old,split","Da","ימין","Right","ימין","right","Reshet Bet","Raffi Smit",2,2,"4","03","2015",29,15,26,2015-03-17,5,0.0447213595499958,8,9
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"ישראל ביתנו",6,2015,"(5,10]",5,"Israel Beytenu","פיצול,ישן","old,split","Ac","ימין","Right","ימין","right","Reshet Bet","Raffi Smit",1,1,"4","03","2015",15,15,26,2015-03-17,5,0.0447213595499958,5,6
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"יהדות התורה",6,2015,"(5,10]",6,"Yehadut Hatorah","ישן","old","H","ימין","Right","ימין","right","Reshet Bet","Raffi Smit",0,0,"4","03","2015",12,15,26,2015-03-17,5,0.0447213595499958,5,6
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"מרצ",5,2015,"(1,5]",5,"Meretz","ישן","old","G","שמאל","Left","שמאל","left","Reshet Bet","Raffi Smit",0,0,"4","03","2015",19,15,26,2015-03-17,5,0.0447213595499958,4,5
2015-03-12,"רשת ב","רפי סמית","מדגם",500,"יחד",4,2015,"(1,5]",0,"Yachad","פיצול,חדש","new,split","Db","ימין","Right","ימין","right","Reshet Bet","Raffi Smit",4,4,"4","03","2015",13,15,26,2015-03-17,5,0.0447213595499958,3,4
2015-03-11,"גלובס","רפי סמית","מדגם",500,"המחנה הציוני",24,2015,"(20,30]",27,"Hamachane Hazioni","איחוד","combined","Abb-B","מרכז-שמאל","Center-Left","שמאל","left","Globes","Raffi Smit",-3,3,"3","03","2015",7,15,6,2015-03-17,6,0.0447213595499958,22,25
2015-03-11,"גלובס","רפי סמית","מדגם",500,"הליכוד",20,2015,"(15,20]",27,"Likud","פיצול,ישן","old,split","Aa","ימין","Right","ימין","right","Globes","Raffi Smit",-7,7,"3","03","2015",5,15,6,2015-03-17,6,0.0447213595499958,19,20
2015-03-11,"גלובס","רפי סמית","מדגם",500,"רשימה משותפת ערבית",13,2015,"(10,15]",13,"Combined Arab Parties","איחוד","combined","I-J-K-L","שמאל","Left","שמאל","left","Globes","Raffi Smit",0,0,"3","03","2015",26,15,6,2015-03-17,6,0.0447213595499958,12,13
2015-03-11,"גלובס","רפי סמית","מדגם",500,"הבית היהודי",12,2015,"(10,15]",8,"Habayit Hayehudi","איחוד","combined","E-F","ימין","Right","ימין","right","Globes","Raffi Smit",4,4,"3","03","2015",4,15,6,2015-03-17,6,0.0447213595499958,11,12
2015-03-11,"גלובס","רפי סמית","מדגם",500,"יש עתיד",12,2015,"(10,15]",12,"Yesh Atid","ישן","old","Q","מרכז-ימין","Center-Right","ימין","right","Globes","Raffi Smit",0,0,"3","03","2015",14,15,6,2015-03-17,6,0.0447213595499958,11,12
2015-03-11,"גלובס","רפי סמית","מדגם",500,"כולנו",9,2015,"(5,10]",10,"Kulanu","פיצול,חדש","new,split","Ad","מרכז-ימין","Center-Right","ימין","right","Globes","Raffi Smit",-1,1,"3","03","2015",17,15,6,2015-03-17,6,0.0447213595499958,8,9
2015-03-11,"גלובס","רפי סמית","מדגם",500,"שס",9,2015,"(5,10]",7,"Shas","פיצול,ישן","old,split","Da","ימין","Right","ימין","right","Globes","Raffi Smit",2,2,"3","03","2015",29,15,6,2015-03-17,6,0.0447213595499958,8,9
2015-03-11,"גלובס","רפי סמית","מדגם",500,"ישראל ביתנו",6,2015,"(5,10]",5,"Israel Beytenu","פיצול,ישן","old,split","Ac","ימין","Right","ימין","right","Globes","Raffi Smit",1,1,"3","03","2015",15,15,6,2015-03-17,6,0.0447213595499958,5,6
2015-03-11,"גלובס","רפי סמית","מדגם",500,"יהדות התורה",6,2015,"(5,10]",6,"Yehadut Hatorah","ישן","old","H","ימין","Right","ימין","right","Globes","Raffi Smit",0,0,"3","03","2015",12,15,6,2015-03-17,6,0.0447213595499958,5,6
2015-03-11,"גלובס","רפי סמית","מדגם",500,"מרצ",5,2015,"(1,5]",5,"Meretz","ישן","old","G","שמאל","Left","שמאל","left","Globes","Raffi Smit",0,0,"3","03","2015",19,15,6,2015-03-17,6,0.0447213595499958,4,5
2015-03-11,"גלובס","רפי סמית","מדגם",500,"יחד",4,2015,"(1,5]",0,"Yachad","פיצול,חדש","new,split","Db","ימין","Right","ימין","right","Globes","Raffi Smit",4,4,"3","03","2015",13,15,6,2015-03-17,6,0.0447213595499958,3,4
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"המחנה הציוני",24,2015,"(20,30]",27,"Hamachane Hazioni","איחוד","combined","Abb-B","מרכז-שמאל","Center-Left","שמאל","left","Haretz","Camille Fuchs",-3,3,"3","03","2015",7,14,8,2015-03-17,6,0.037424059428256,23,24
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"הליכוד",21,2015,"(20,30]",27,"Likud","פיצול,ישן","old,split","Aa","ימין","Right","ימין","right","Haretz","Camille Fuchs",-6,6,"3","03","2015",5,14,8,2015-03-17,6,0.037424059428256,20,21
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"רשימה משותפת ערבית",13,2015,"(10,15]",13,"Combined Arab Parties","איחוד","combined","I-J-K-L","שמאל","Left","שמאל","left","Haretz","Camille Fuchs",0,0,"3","03","2015",26,14,8,2015-03-17,6,0.037424059428256,12,13
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"יש עתיד",12,2015,"(10,15]",12,"Yesh Atid","ישן","old","Q","מרכז-ימין","Center-Right","ימין","right","Haretz","Camille Fuchs",0,0,"3","03","2015",14,14,8,2015-03-17,6,0.037424059428256,11,12
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"הבית היהודי",11,2015,"(10,15]",8,"Habayit Hayehudi","איחוד","combined","E-F","ימין","Right","ימין","right","Haretz","Camille Fuchs",3,3,"3","03","2015",4,14,8,2015-03-17,6,0.037424059428256,10,11
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"כולנו",11,2015,"(10,15]",10,"Kulanu","פיצול,חדש","new,split","Ad","מרכז-ימין","Center-Right","ימין","right","Haretz","Camille Fuchs",1,1,"3","03","2015",17,14,8,2015-03-17,6,0.037424059428256,10,11
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"שס",7,2015,"(5,10]",7,"Shas","פיצול,ישן","old,split","Da","ימין","Right","ימין","right","Haretz","Camille Fuchs",0,0,"3","03","2015",29,14,8,2015-03-17,6,0.037424059428256,6,7
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"יהדות התורה",6,2015,"(5,10]",6,"Yehadut Hatorah","ישן","old","H","ימין","Right","ימין","right","Haretz","Camille Fuchs",0,0,"3","03","2015",12,14,8,2015-03-17,6,0.037424059428256,5,6
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"מרצ",6,2015,"(5,10]",5,"Meretz","ישן","old","G","שמאל","Left","שמאל","left","Haretz","Camille Fuchs",1,1,"3","03","2015",19,14,8,2015-03-17,6,0.037424059428256,5,6
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"יחד",5,2015,"(1,5]",0,"Yachad","פיצול,חדש","new,split","Db","ימין","Right","ימין","right","Haretz","Camille Fuchs",5,5,"3","03","2015",13,14,8,2015-03-17,6,0.037424059428256,4,5
2015-03-11,"הארץ","קמיל פוקס","מדגם",714,"ישראל ביתנו",4,2015,"(1,5]",5,"Israel Beytenu","פיצול,ישן","old,split","Ac","ימין","Right","ימין","right","Haretz","Camille Fuchs",-1,1,"3","03","2015",15,14,8,2015-03-17,6,0.037424059428256,3,4
2015-03-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1083,"המחנה הציוני",24,2015,"(20,30]",27,"Hamachane Hazioni","איחוד","combined","Abb-B","מרכז-שמאל","Center-Left","שמאל","left","Maariv - Weekend","Panel Politics",-3,3,"3","03","2015",7,12,15,2015-03-17,6,0.0303868562731382,23,24
2015-03-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1083,"הליכוד",21,2015,"(20,30]",27,"Likud","פיצול,ישן","old,split","Aa","ימין","Right","ימין","right","Maariv - Weekend","Panel Politics",-6,6,"3","03","2015",5,12,15,2015-03-17,6,0.0303868562731382,20,21
2015-03-11,"מעריב-סופהשבוע","פאנלס פוליטיקס","פאנל",1083,"יש עתיד",13,2015,"(10,15]",12,"Yesh Atid","ישן","old","Q","מרכז-ימין","Center-Right","ימין","right","Maariv - Weekend","Panel Politics",1,1,"3","03","2015",14,12,15,2015-03-17,6,0.0303868562731382,12,13
